reference	damage_model_pmax	damage_model_p	coverage	nb_reads_aligned	qvalue
k39_1798	0.014	0.961	165.103	4981	0.0
k39_7658	0.014	0.933	142.17	30342	0.0
k39_8437	0.014	0.951	137.179	39417	0.0
k39_12129	0.014	0.871	138.95	12240	0.0
k39_4127	0.014	0.903	145.533	12573	0.0
k39_3352	0.014	0.903	131.701	5113	0.0
k39_1446	0.014	0.99	164.444	1710	0.0
k39_9487	0.014	0.921	110.688	18749	0.0
k39_11633	0.014	0.938	155.065	60394	0.0
k39_10333	0.014	0.99	232.185	830	0.018
k39_9578	0.014	0.984	121.267	4728	0.0
k39_12856	0.014	0.99	117.767	5051	0.0
k39_9830	0.014	0.977	154.055	18614	0.0
k39_11226	0.014	0.779	105.807	3118	0.0
k39_12988	0.014	0.893	136.902	14910	0.0
k39_940	0.014	0.99	281.404	4119	0.0
k39_3806	0.014	0.988	121.898	10672	0.0
k39_10362	0.014	0.955	158.371	15272	0.0
k39_12527	0.014	0.989	149.733	22164	0.0
k39_13047	0.014	0.866	128.301	25022	0.0
k39_10531	0.013	0.888	138.086	15204	0.0
k39_5320	0.013	0.845	109.006	6376	0.0
k39_11852	0.013	0.956	131.899	17729	0.0
k39_3659	0.013	0.978	141.515	17907	0.0
k39_2182	0.013	0.99	292.26	3106	0.0
k39_11905	0.013	0.838	175.949	5923	0.0
k39_12918	0.013	0.921	141.92	18868	0.0
k39_8543	0.013	0.823	172.77	26139	0.0
k39_8909	0.013	0.947	155.41	47401	0.0
k39_11397	0.013	0.99	117.528	6175	0.0
k39_10606	0.013	0.883	118.101	16616	0.0
k39_2258	0.013	0.512	67.347	899	0.007
k39_12476	0.013	0.953	116.078	6537	0.0
k39_12900	0.013	0.949	161.893	24537	0.0
k39_13117	0.013	0.963	168.473	27946	0.0
k39_11423	0.013	0.93	150.574	17386	0.0
k39_13026	0.013	0.948	125.309	28589	0.0
k39_13097	0.013	0.912	143.949	38728	0.0
k39_8560	0.013	0.959	129.32	14184	0.0
k39_4746	0.013	0.835	124.826	2329	0.0
k39_6396	0.013	0.932	149.131	152109	0.0
k39_3720	0.013	0.977	143.954	2806	0.0
k39_2907	0.013	0.81	117.878	2864	0.0
k39_11730	0.013	0.99	121.468	13396	0.0
k39_8233	0.013	0.98	137.317	8130	0.0
k39_8207	0.013	0.946	139.403	13075	0.0
k39_12453	0.013	0.99	167.718	8535	0.0
k39_10541	0.013	0.923	137.96	28762	0.0
k39_7716	0.013	0.946	143.341	20708	0.0
k39_13197	0.013	0.915	147.481	90977	0.0
k39_7768	0.013	0.977	126.33	25485	0.0
k39_11780	0.013	0.845	131.485	17925	0.0
k39_12449	0.013	0.982	138.232	21355	0.0
k39_9804	0.013	0.961	158.069	47751	0.0
k39_5154	0.013	0.912	139.092	7429	0.0
k39_4316	0.013	0.99	145.614	13972	0.0
k39_10986	0.013	0.979	146.718	39401	0.0
k39_1256	0.013	0.924	156.051	14206	0.0
k39_8373	0.013	0.889	165.15	24647	0.0
k39_12704	0.013	0.922	147.837	62662	0.0
k39_3710	0.013	0.927	139.296	37800	0.0
k39_7871	0.013	0.919	136.005	16486	0.0
k39_13206	0.013	0.929	162.111	48952	0.0
k39_13094	0.013	0.928	158.647	19737	0.0
k39_13059	0.013	0.87	153.203	11893	0.0
k39_11946	0.013	0.937	151.141	47345	0.0
k39_5589	0.013	0.99	131.427	7301	0.0
k39_9022	0.013	0.921	186.869	11902	0.0
k39_10631	0.012	0.948	132.222	54388	0.0
